Id,Label
1,0
2,-1
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,-1
20,0
21,0
22,1
23,0
24,0
25,0
26,-1
27,0
28,-1
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,-1
43,0
44,1
45,0
46,0
47,0
48,0
49,-1
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,-1
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,-1
73,1
74,0
75,0
76,0
77,0
78,1
79,-1
80,0
81,0
82,1
83,0
84,0
85,0
86,-1
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,-1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,-1
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,-1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,-1
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,0
151,-1
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,-1
165,0
166,0
167,0
168,-1
169,-1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,1
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,-1
215,0
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,-1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,-1
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,-1
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,-1
256,0
257,0
258,1
259,1
260,1
261,1
262,-1
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,-1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,1
312,-1
313,-1
314,0
315,0
316,0
317,0
318,1
319,0
320,-1
321,0
322,0
323,-1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,-1
334,-1
335,0
336,0
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,0
345,-1
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,-1
357,1
358,1
359,0
360,0
361,-1
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,-1
372,1
373,1
374,0
375,1
376,0
377,-1
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,-1
387,0
388,0
389,0
390,-1
391,-1
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,-1
409,1
